cod_marca;cod_modelo;nome_modelo;ultimo_ano
6;131;RS6 4.2 450cv BI-TB Quattro Tiptronic 4p;2004
6;132;RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p;2004
6;5335;RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.;2011
6;5336;RS6 5.0 FSI V10 Bi-TB Quattro Tip.;2011
6;133;S3 1.8 225cv Turbo Quattro;2003
6;6951;S3 Sedan 2.0 TFSI Quattro 286cv S-tronic;2016
6;5127;S3 Sportback 2.0 TFSI Quattro S Tronic;2016
6;134;S4 2.7 Avant Turbo Quattro;2001
6;135;S4 2.7 Turbo Quattro Mec.;2001
6;6085;S4 3.0 Avant TFSI V6 24V Quattro Stronic;2014
6;6086;S4 3.0 TFSI V6 24V Quattro Stronic;2014
6;136;S4 4.2 Avant V8 40V 344cv Quattro Tipt.;2005
6;137;S4 4.2 V8 40V 344cv Quattro Tiptronic;2005
6;6087;S5 Cabriolet 3.0 TFSI Quattro Stronic;2013
6;6088;S5 Coupê 3.0 TFSI Quattro Stronic;2013
6;6089;S5 Sportback 3.0 TFSI Quattro Stronic;2015
6;138;S6 2.2 20V TB;1997
6;139;S6 2.2 Avant 20V TB;1997
6;7302;S6 4.0 TFSI Quattro S-Tronic 4p;2016
6;140;S6 4.2 Avant V8 40V Quattro Tiptronic;2001
6;141;S6 4.2 V8 40V Quattro Mec;2001
6;142;S6 4.2 V8 40V Quattro Tiptronic;2004
6;5186;S6 5.2 Avant FSI V10 435cv Quattro Tiptr;2011
6;5187;S6 5.2 FSI V10 435cv Quattro Tiptronic;2011
6;143;S6 Plus 4.2 Avant V8 32V;1998
6;144;S6 Plus 4.2 V8 32V;1998
6;6632;S7 4.0 TFSI 420/450cv Quattro S-tronic;2016
6;7128;S8 4.0 TFSI Quattro Tiptronic 4p;2017
6;145;S8 4.2 Mec;1998
6;146;S8 4.2 Quattro Mec.;2000
6;147;S8 4.2 Quattro Tiptronic;2000
6;148;S8 4.2 Tiptronic;2001
6;149;TT 1.8 TB 180cv;2006
6;150;TT 1.8 TB Quattro 225cv;2006
6;151;TT Roadster 1.8 TB Quattro 225cv (Conv.);2006
6;6259;TTRS Roadster 2.5 TB FSI Quat. S Tronic;2014
207;8274;Buggy 1.6 2-Lug.;1997
7;6146;116iA 1.6 TB 16V 136cv 5p;2015
7;5576;118iA 2.0 16V 136cv 3p;2012
7;4960;118iA 2.0 16V 136cv 5p;2012
7;6147;118iA Full 1.6 TB 16V 170cv 5p;2014
7;5923;118iA/ Urban/Sport 1.6 TB 16V 170cv 5p;2015
7;152;120i 2.0 16V 150cv/ 156cv 5p;2009
7;153;120iA 2.0 16V 150cv/ 156cv 5p;2012
7;4700;120iA 2.0 16V 156cv 3p;2009
7;4683;120iA Cabrio 2.0 16V 156cv 2p;2012
7;3879;130i 3.0 24V 265cv 5p;2009
7;4473;130iA 3.0 24V 265cv 3p;2009
7;4199;130iA 3.0 24V 265cv 5p;2012
7;4961;135iA Coupé 3.0 24V 306cv;2012
7;7129;225i Active Tourer Sport 2.0 TB Aut.;2016
7;154;316 (todas);1995
7;6660;316i 1.6 TB 16V 136cv 4p;2015
7;155;318i Cabrio 1.8 16V;1995
7;156;318i/iA 1.8 16V;1998
7;157;318i/iA Compact 1.8 16V;1997
7;5607;318iA 2.0 16V 136cv 5p;2012
7;158;318iS/ISA 1.9 16V;1998
7;159;318Ti Compact Mec;1998
7;160;318Ti/TiA Compact 1.9 16V;1999
7;161;320i;2007
7;162;320iA;2012
7;6609;320iA GT Sport 2.0 Turbo 16V 184cv 5p;2017
7;163;323Ci Coupê;2000
7;164;323CiA Coupê;2000
7;165;323i 2.5 24V;2001
7;166;323i Confort;2000
7;167;323i Sport;1998
7;168;323i Touring;2000
7;172;323i/iA Exclusive;2000
7;169;323iA 2.5 24V;2001
7;170;323iA Confort;2000
7;171;323iA Entry Sedan;2000
7;173;323iA Sport;2001
7;174;323iA Top Sedan;2002
7;175;323iA Touring;1999
7;176;323Ti Compact;2000
7;177;323Ti Compact Sport;2000
7;178;323TiA Compact Top;1999
7;179;325i;2001
7;180;325i/iA Cabrio;1996
7;181;325iA;2012
7;182;325iA 2.5 24V Protection;2003
7;183;325iA Coupé 2.5 24V 2p;2010
7;3955;325iA Touring;2009
7;184;328i Exclusive 2.8 24V;2000
7;185;328i Touring/Sport;1999
7;186;328i/iA (modelo antigo);1998
7;187;328i/iA (novo modelo);2000
7;188;328i/iA Cabrio;1998
7;6046;328iA 2.0 TB/2.0 TB Flex 16V 4p;2014
7;189;328iA Exclusive 2.8 24V;2000
7;6633;328iA GT M Sport 2.0 Turbo 16V 245cv 5p;2016
7;6047;328iA Luxury/Modern 2.0 TB 16V 4p;2013
7;6048;328iA Plus 2.0 TB 16V 245cv 4p;2013
7;190;328iA Touring/Sport;1999
7;191;330Ci Cabriolet;2004
7;192;330CiA Cabriolet;2006
7;193;330i MotorSport 3.0 24V 4p;2003
7;3956;330iA Exclusive 3.0 24V 4p;2006
7;194;330iA MotorSport 4p;2007
7;195;330iA Top 4p;2007
7;9957;335i 3.0 Active 3 (Híbrido);2014
7;4272;335iA 3.0 24V 306cv;2012
7;4416;335iA Cabriolet 3.0 24V 306cv;2012
7;6513;335iA M Sport 3.0 24V 306cv 4p;2015
7;6148;335iA Sport 3.0 24V 306cv 4p;2013
7;7083;420i Cabriolet Sport 2.0 TB 184cv 2p;2016
7;6952;428i Cabriolet Sport 2.0 TB 245cv 2p;2016
7;7084;428i Gran Coupe M Sport 2.0 TB 245cv;2016
7;7085;428i Gran Coupe Sport 2.0 TB 245cv;2015
7;7728;430i Cab. Sport Limited Ed.2.0 TB 2p;2017
7;7729;430i Gran Coupé M Sport TB 5p;2017
7;6691;435iA M Sport Coupe 3.0 24V 306cv 2p;2015
7;196;520i 2.0 16V;1993
7;197;525i/iA;2003
7;198;525i/iA Touring;1995
7;199;528i/iA;2000
7;6149;528iA 2.0 Turbo 16V 245cv 4p;2014
7;200;528iA High;2001
7;6514;528iA M Sport 2.0 Turbo 16V 245cv 4p;2016
7;201;528iA Touring;1999
7;8816;530i Security;2008
7;202;530i/iA;2010
7;203;530i/iA Touring;1995
7;204;535i/iA 3.5 24V;1993
7;5267;535iA 3.0 24V 306cv Bi-Turbo;2013
7;5292;535iA GT 3.0 306cv Bi-Turbo;2012
7;6415;535iA M Sport 3.0 24V 306cv Bi-Turbo;2016
7;205;540i;2000
7;206;540i/iA Touring;2001
7;207;540iA;2003
7;208;540iA MotorSport;2003
7;209;540iA Protection;2003
7;210;540iTA;2001
7;211;545iA 4.4 32V V8 333cv;2006
7;5268;550iA 4.4 32V 407cv Bi-Turbo;2012
7;3880;550iA 4.8 32V;2009
7;4995;550iA Limited Sport Edition 4.8 32V;2010
7;4432;550iA Security 4.8 32V;2009
7;6378;640i Gran Coupe 3.0 320cv 4p;2015
7;3929;645Ci Cabriolet 4.4 V8 32V 333cv;2005
7;212;645iA 4.4 V8 32V 333cv;2005
7;5718;650Ci Cabriolet 4.4 407cv Bi-Turbo;2012
7;4126;650Ci Cabriolet 4.8 V8 32V 360cv;2012
7;6634;650i Gran Coupe 4.4 V8 450cv 4p;2016
7;6150;650iA 4.4 407cv Bi-Turbo;2012
7;4125;650iA 4.8 V8 32V 360cv;2009
7;5057;650iA Limited Sport  Edition 4.8 32V;2010
7;213;730i 3.0 32V;1992
7;214;730iA 3.0 32V;1992
7;215;735i/iA 3.5 32V;1992
7;216;740i;1997
7;217;740iA;2001
7;218;740iL/iLA Highline 4.4 32V;1996
7;219;740iLA Protection;2001
7;220;745iA 4.4 V8 32V 333cv;2005
7;221;750i;1996
7;7147;750i M Sport Sedan 4.4 V8 450cv Aut.;2015
7;222;750iA;2014
7;223;750iL Highline 5.4 24V;1998
7;9962;750iLA 4.4 Active 7 (Híbrido);2012
7;224;760iL 6.0 V12 445cv/544cv;2012
7;225;840Ci;1997
7;226;840CiA;1998
7;227;850Ci/CiA 5.0 24V;1995
7;228;850Ci/CiA 5.4 24V;1998
7;229;850CSi 5.6 24V;1995
7;230;850i 5.0 24V;1996
7;6416;M 135i 3.0 24V 320cv;2016
7;6910;M 235i Coupe 3.0 24V 326cv;2016
7;231;M Roadster;2000
7;5719;M1 Coupe 3.0 24V 340cv;2012
7;232;M3 3.2 24V;2006
7;233;M3 Cabrio 3.0 24V;1995
7;4919;M3 Cabrio 4.0 32V;2010
7;234;M3 Coupê 3.0 24V 255cv;1998
7;235;M3 Coupê 3.0 V6 24V 282cv;1995
7;4527;M3 Coupê 4.0 32V;2013
7;4823;M3 Sedan 4.0 32V;2012
7;7148;M4 Cabriolet 3.0 Bi-Turbo 24V 431cv 2p;2016
7;236;M5 3.8/Touring 3.8 24V;1995
7;6260;M5 4.4 560cv Bi-Turbo Aut.;2015
7;237;M5 5.0 32V/ 40V;2010
7;238;M6 5.0 V10 40V 507cv;2010
7;6460;M6 Coupe 4.4 Bi-Turbo V8 32V;2015
7;5269;X1 SDRIVE 18i 2.0 16V 4x2 Aut.;2014
7;6151;X1 XDRIVE 28i 2.0 Turbo 16V 4x4 Aut.;2014
7;5158;X1 XDRIVE 28i 3.0 24V 4x4 Aut.;2012
7;7086;X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.;2015
7;239;X3 Family 2.5 24V 192cv/ 218cv;2009
7;240;X3 Family 3.0 24V 231cv;2006
7;4241;X3 Sport 2.5 24V 192cv/ 218cv;2010
7;241;X3 Sport 3.0 24V 231cv;2010
7;6294;X3 XDRIVE 28i 2.0 Turbo 245cv Aut.;2015
